Date,Open,High,Low,Close,Volume
31-Oct-17,176.16,176.73,174.52,175.16,2656509
30-Oct-17,177.00,177.48,174.45,176.03,2124220
27-Oct-17,174.02,177.58,174.02,177.33,2807106
26-Oct-17,172.06,175.02,172.02,173.75,2581165
25-Oct-17,170.37,173.41,170.04,171.83,2785655
24-Oct-17,171.47,172.49,170.49,171.58,2658577
23-Oct-17,175.68,175.85,171.83,172.16,3220814
20-Oct-17,171.50,175.87,171.36,175.64,6019412
19-Oct-17,165.50,172.15,164.42,171.73,13522642
18-Oct-17,150.33,153.43,149.03,153.00,4290947
17-Oct-17,150.52,150.93,148.15,150.38,3547811
16-Oct-17,151.15,153.07,149.28,150.46,3833182
13-Oct-17,153.96,154.59,153.06,153.93,2515573
12-Oct-17,153.72,154.85,153.39,153.61,2430193
11-Oct-17,152.09,154.00,151.35,153.65,2791024
10-Oct-17,152.00,152.86,151.32,152.15,2817629
9-Oct-17,150.76,151.57,150.25,151.50,1461004
6-Oct-17,149.96,151.36,149.53,151.12,2283030
5-Oct-17,148.49,150.45,147.71,150.25,2413792
4-Oct-17,148.21,148.46,146.60,147.95,2885596
3-Oct-17,148.48,148.80,147.98,148.60,1808225
2-Oct-17,149.79,150.48,147.52,147.94,2341670
29-Sep-17,146.69,149.28,146.60,149.18,2181258
28-Sep-17,146.14,147.32,145.39,146.83,1666974
27-Sep-17,146.31,147.09,145.75,146.43,2944063
26-Sep-17,145.50,146.35,143.96,145.40,3279994
25-Sep-17,148.39,148.71,143.95,144.57,4869526
22-Sep-17,148.69,149.50,147.85,148.50,2929187
21-Sep-17,150.38,151.25,148.30,149.30,4991765
20-Sep-17,151.99,152.40,149.00,149.96,9372344
19-Sep-17,156.30,157.05,155.81,156.60,4014750
18-Sep-17,155.01,156.30,154.37,155.77,2581009
15-Sep-17,154.90,155.19,153.56,154.49,3012822
14-Sep-17,155.37,156.20,154.68,154.95,1676406
13-Sep-17,155.88,156.70,155.39,156.24,1363910
12-Sep-17,156.76,157.22,154.92,156.31,1766416
11-Sep-17,156.59,157.89,156.38,156.87,1715997
8-Sep-17,155.24,155.88,154.29,155.34,1449916
7-Sep-17,154.49,155.88,153.64,155.47,1445441
6-Sep-17,155.11,155.56,153.61,153.76,1224410
5-Sep-17,154.83,155.41,153.31,154.28,1355632
1-Sep-17,155.76,156.06,154.38,155.06,1321349
31-Aug-17,154.36,155.36,154.35,155.16,1895007
30-Aug-17,152.05,154.26,151.89,153.67,1466018
29-Aug-17,150.55,152.76,150.01,152.14,1189020
28-Aug-17,151.87,152.50,151.19,151.79,952629
25-Aug-17,152.00,153.00,150.91,151.45,1182292
24-Aug-17,151.22,151.83,149.17,150.81,1449409
23-Aug-17,152.18,152.18,150.75,151.10,1355045
22-Aug-17,150.14,152.59,150.14,152.25,1981335
21-Aug-17,148.05,149.33,147.57,149.26,1244766
18-Aug-17,147.74,148.69,147.12,147.97,1699265
17-Aug-17,151.66,151.72,148.19,148.23,2125510
16-Aug-17,150.70,151.99,149.76,151.80,1454988
15-Aug-17,149.56,150.65,148.41,150.36,1144138
14-Aug-17,147.81,149.50,147.56,149.16,1171641
11-Aug-17,145.25,147.10,144.18,146.47,1382926
10-Aug-17,147.23,147.74,144.72,144.92,1902025
9-Aug-17,146.68,148.50,146.50,148.35,1177923
8-Aug-17,148.14,148.86,146.36,147.81,1508814
7-Aug-17,147.74,148.90,147.54,148.44,1455624
4-Aug-17,148.25,148.62,147.27,147.71,1503962
3-Aug-17,147.47,147.98,145.68,147.79,1510601
2-Aug-17,147.56,147.60,144.52,147.13,2111957
1-Aug-17,147.48,147.65,146.52,147.36,1580339
31-Jul-17,146.36,146.91,145.06,146.49,2188441
28-Jul-17,145.77,147.24,144.50,146.73,1399373
27-Jul-17,149.87,150.37,144.28,146.20,3058648
26-Jul-17,148.62,149.83,148.42,149.78,1363136
25-Jul-17,149.82,149.90,148.14,148.21,1591819
24-Jul-17,149.16,149.95,149.04,149.53,1503366
21-Jul-17,149.16,150.40,148.91,149.52,1819773
20-Jul-17,149.07,150.10,148.35,149.94,1565992
19-Jul-17,147.89,149.32,147.50,148.92,1880053
18-Jul-17,146.47,147.96,145.37,147.89,1821001
17-Jul-17,146.16,146.73,145.39,146.40,1310498
14-Jul-17,145.59,146.48,145.22,146.16,2283792
13-Jul-17,145.91,146.48,144.94,145.05,1308293
12-Jul-17,144.00,146.19,143.80,145.91,1812071
11-Jul-17,142.99,143.98,142.12,142.93,1623715
10-Jul-17,142.21,143.88,141.57,143.34,1615161
7-Jul-17,141.07,143.36,140.97,142.22,1533905
6-Jul-17,139.73,141.18,138.88,140.75,1803234
5-Jul-17,138.65,141.97,138.55,141.21,2229878
3-Jul-17,141.73,142.15,138.31,138.41,1785994
30-Jun-17,141.87,142.81,140.74,141.44,2331025
29-Jun-17,143.06,143.20,139.65,141.24,2653886
28-Jun-17,143.01,144.08,141.15,143.81,2507882
27-Jun-17,144.33,144.81,142.54,142.54,3018939
26-Jun-17,146.06,146.89,144.36,144.96,2775521
23-Jun-17,143.75,145.59,143.06,145.41,3418994
22-Jun-17,145.15,145.77,143.66,143.69,3688418
21-Jun-17,145.08,147.45,142.75,144.24,8251897
20-Jun-17,141.21,142.30,140.19,140.91,5454713
19-Jun-17,138.79,141.47,138.64,140.35,4356865
16-Jun-17,137.35,138.35,136.29,137.84,4205798
15-Jun-17,136.63,137.90,134.45,137.52,2804410
14-Jun-17,139.29,140.85,136.41,138.25,2831058
13-Jun-17,138.79,139.86,138.09,139.09,2871379
12-Jun-17,133.72,138.64,131.20,137.25,6772355
9-Jun-17,143.14,143.58,135.76,138.05,4146190
8-Jun-17,143.96,143.97,141.74,142.63,2811524
7-Jun-17,143.33,143.77,142.45,143.62,1633783
6-Jun-17,143.35,144.17,142.73,143.03,2162703
5-Jun-17,144.14,144.34,143.51,143.59,1847635
2-Jun-17,142.12,143.57,141.86,143.48,2885683
1-Jun-17,141.64,142.49,140.93,141.38,2407737
31-May-17,143.04,143.19,141.41,141.86,2944380
30-May-17,141.80,142.56,141.50,142.41,1541204
26-May-17,142.93,143.10,141.67,141.89,1604223
25-May-17,142.16,143.48,141.80,142.85,1731076
24-May-17,140.18,141.25,139.81,141.12,1700445
23-May-17,139.16,139.95,138.70,139.52,2123751
22-May-17,137.38,139.19,136.58,138.86,2515974
19-May-17,135.18,136.61,134.34,136.43,3721729
18-May-17,132.77,134.85,130.82,134.54,4158708
17-May-17,137.20,137.32,134.24,134.33,3558545
16-May-17,138.06,138.39,137.60,138.03,2271821
15-May-17,137.13,137.71,136.83,137.60,3210300
12-May-17,136.45,137.38,135.88,136.84,1626639
11-May-17,135.98,136.31,135.40,136.29,1344005
10-May-17,135.86,136.74,135.51,136.15,1755377
9-May-17,135.33,135.62,134.90,135.60,1692745
8-May-17,135.36,135.38,134.22,135.12,1583085
5-May-17,135.19,135.19,134.19,134.84,1845506
